DurationMonth,CreditAmount,Age,Residence,NumberPeopleLiable,ExistingCredits,InstallmentRate,SavingsAccount,PresentEmployment,StatusCheckingAccount,CreditHistory,Purpose,PersonalStatus,OtherDebtors,Property,OtherInstallment,Housing,Job,Telephone,ForeignWorker,Class
60,6836,63,4,1,2,3,1.0,5,1,4,10,3,1,4,3,2,3,2,1,2
18,1913,36,3,1,1,3,4.0,2,2,3,10,4,1,1,1,2,3,2,1,1
24,4020,27,2,1,1,2,1.0,3,1,3,4,3,1,3,2,2,3,1,1,1
18,5866,30,2,1,2,2,2.0,3,2,3,1,3,1,3,3,2,3,2,1,1
12,1264,57,4,1,1,4,1.0,5,4,5,10,3,1,4,3,1,2,1,1,1
12,1474,33,1,1,1,4,1.0,2,3,3,4,2,1,2,1,2,4,2,1,1
45,4746,25,2,1,2,4,1.0,2,2,5,5,3,1,2,3,2,2,1,1,2
48,6110,31,3,1,1,1,1.0,3,4,5,8,3,1,4,1,3,3,2,1,1
18,2100,37,2,1,1,4,1.0,3,3,3,5,3,2,1,2,2,3,1,1,2
10,1225,37,2,1,1,2,1.0,3,3,3,6,3,1,3,3,2,3,2,1,1
9,458,24,3,1,1,4,1.0,3,2,3,5,3,1,1,3,2,3,1,1,1
30,2333,30,2,1,1,4,3.0,5,4,3,5,3,1,3,1,2,4,1,1,1
12,1158,26,1,1,1,3,3.0,3,2,3,5,1,1,3,3,2,3,2,1,1
18,6204,44,4,2,1,2,1.0,3,2,4,7,3,1,1,3,2,2,2,1,1
30,6187,24,4,1,2,1,2.0,4,1,5,2,4,1,3,3,1,3,1,1,1
48,6143,58,4,1,2,4,1.0,5,1,5,2,2,1,4,2,3,2,1,1,2
11,1393,35,4,1,2,4,1.0,2,4,5,1,2,1,3,3,2,4,1,1,1
36,2299,39,4,1,1,4,3.0,5,4,3,5,3,1,3,3,2,3,1,1,1
6,1352,23,2,1,1,1,3.0,1,1,3,2,2,1,2,3,1,1,2,1,1
11,7228,39,4,1,2,1,1.0,3,4,5,1,3,1,2,3,2,2,1,1,1
12,2073,28,2,1,1,4,2.0,3,4,3,5,2,2,1,3,2,3,1,1,1
24,2333,29,2,1,1,4,1.0,2,2,4,4,3,1,2,1,2,2,1,1,1
27,5965,30,2,1,2,1,1.0,5,2,4,2,3,1,3,3,2,4,2,1,1
12,1262,25,2,1,1,3,1.0,3,4,3,5,3,1,3,3,2,3,1,1,1
18,3378,31,1,1,1,2,1.0,3,4,3,2,3,1,2,3,2,3,2,1,1
36,2225,57,4,1,2,4,1.0,5,2,4,1,3,1,4,1,3,3,2,1,2
6,783,26,2,2,1,1,1.0,3,4,2,1,3,3,1,2,2,2,1,1,1
12,6468,52,1,1,1,2,1.0,1,2,3,5,3,1,4,3,2,4,2,1,2
36,9566,31,2,1,2,2,1.0,3,4,5,5,2,1,3,2,2,3,1,1,1
18,1961,23,2,1,1,3,1.0,5,3,3,1,2,1,3,3,2,4,1,1,1
36,6229,23,4,1,2,4,1.0,2,1,5,4,2,2,4,3,1,2,2,1,2
9,1391,27,1,1,1,2,1.0,3,2,3,10,4,1,1,1,2,3,2,1,1
15,1537,50,4,1,2,4,1.0,5,2,5,5,3,3,1,3,2,3,2,1,1
36,1953,61,4,1,1,4,1.0,5,2,1,10,3,1,4,3,3,4,2,1,2
48,14421,25,2,1,1,2,1.0,3,2,1,10,3,1,3,3,2,3,2,1,2
24,3181,26,4,1,1,4,1.0,2,4,3,5,2,1,2,3,2,3,2,1,1
27,5190,48,4,2,4,4,1.0,5,4,3,7,3,1,2,3,2,3,2,1,1
12,2171,29,2,1,1,2,1.0,2,4,3,5,2,1,3,1,2,3,1,1,1
12,1007,22,1,1,1,4,4.0,3,2,3,1,4,1,1,3,2,3,1,1,1
36,1819,37,4,1,1,4,1.0,3,4,3,8,3,1,4,2,3,3,2,1,2
36,2394,25,4,1,1,4,1.0,3,4,3,5,2,1,3,3,2,3,1,1,1
36,8133,30,2,1,1,1,1.0,3,4,3,2,2,1,2,1,2,3,1,1,1
7,730,46,2,1,2,4,1.0,5,4,5,5,3,1,2,3,1,2,2,1,1
8,1164,51,4,2,2,3,1.0,5,1,5,3,3,1,4,1,3,4,2,1,1
42,5954,41,1,1,2,2,1.0,4,2,5,10,2,1,1,1,2,2,1,1,1
36,1977,40,4,1,1,4,1.0,5,1,3,8,3,1,4,3,2,4,2,1,2
12,1526,66,4,1,2,4,1.0,5,1,5,2,3,1,4,3,3,4,1,1,1
42,3965,34,3,1,1,4,1.0,2,1,3,5,3,1,3,3,2,3,1,1,2
11,4771,51,4,1,1,2,1.0,4,2,4,5,3,1,2,3,2,3,1,1,1
54,9436,39,2,2,1,2,1.0,3,4,1,2,3,1,2,3,2,2,1,1,1
30,3832,22,1,1,1,2,1.0,2,2,3,4,4,1,2,3,2,3,1,1,1
24,5943,44,1,1,2,1,1.0,2,4,3,5,2,1,3,3,2,3,2,1,2
15,1213,47,3,1,1,4,3.0,5,4,3,5,3,1,2,2,2,3,2,1,1
18,1568,24,4,1,1,3,2.0,3,4,3,10,2,1,2,3,1,2,1,1,1
24,1755,58,4,1,1,4,1.0,5,1,3,3,2,3,1,3,2,2,2,1,1
10,2315,52,4,1,1,3,1.0,5,1,3,5,3,1,1,3,2,2,1,1,1
12,1412,29,2,1,2,4,1.0,3,4,5,10,2,3,1,3,2,4,2,1,1
18,1295,27,1,1,2,4,1.0,2,2,5,4,2,1,2,3,2,3,1,1,1
36,12612,47,4,2,1,1,2.0,3,2,3,8,3,1,4,3,3,3,2,1,2
18,2249,30,3,2,1,4,2.0,4,1,3,1,3,1,3,3,2,4,2,1,1
12,1108,28,3,1,2,4,1.0,4,1,1,7,3,1,1,3,2,3,1,1,2
12,618,56,4,1,1,4,1.0,5,4,5,5,3,1,1,3,2,3,1,1,1
12,1409,54,3,1,1,4,1.0,5,1,5,2,3,1,1,3,2,3,1,1,1
12,797,33,3,2,1,4,1.0,5,4,5,5,2,1,2,1,2,2,1,1,2
24,3617,20,4,1,2,4,1.0,5,3,5,4,3,2,4,3,1,3,1,1,1
12,1318,54,4,1,1,4,4.0,5,2,3,1,3,1,1,3,2,3,2,1,1
54,15945,58,4,1,1,3,1.0,2,2,1,10,3,1,4,3,1,3,2,1,2
12,2012,61,2,1,1,4,1.0,4,4,5,8,2,1,3,3,2,3,1,1,1
18,2622,34,4,1,1,4,2.0,3,2,3,10,3,1,3,3,2,3,1,1,1
36,2337,36,4,1,1,4,1.0,5,2,5,5,3,1,1,3,2,3,1,1,1
20,7057,36,4,2,2,3,1.0,4,2,4,2,3,1,2,1,1,4,2,1,1
24,1469,41,4,1,1,4,2.0,5,4,3,1,4,1,1,3,1,2,1,1,1
36,2323,24,4,1,1,4,1.0,4,2,3,5,3,1,3,3,1,3,1,1,1
6,932,24,2,1,1,3,1.0,3,4,4,5,2,1,1,3,2,3,1,1,1
9,1919,35,3,1,1,4,1.0,4,2,5,4,3,1,3,3,1,3,2,1,1
12,2445,26,4,1,1,2,1.0,2,4,3,2,4,1,3,3,1,3,2,1,1
24,11938,39,3,2,2,2,1.0,3,2,5,3,3,2,3,3,2,4,2,1,2
18,6458,39,4,2,2,2,1.0,5,4,2,1,3,1,4,1,2,4,2,1,2
12,6078,32,2,1,1,2,1.0,4,2,3,1,3,1,3,3,2,3,1,1,1
24,7721,30,2,1,1,1,1.0,2,1,3,4,2,1,2,3,2,3,2,2,1
14,1410,35,2,1,1,1,3.0,5,2,3,10,4,1,1,3,2,3,2,1,1
6,1449,31,2,2,2,1,2.0,5,2,4,10,1,1,3,1,2,3,1,1,1
15,392,23,4,1,1,4,1.0,2,3,3,8,2,1,2,3,1,3,2,1,1
18,6260,28,3,1,1,3,1.0,4,2,3,1,3,1,1,3,1,2,1,1,1
36,7855,25,2,1,2,4,1.0,3,4,5,1,2,1,1,2,2,3,2,1,2
12,1680,35,1,1,1,3,3.0,5,1,3,5,4,1,1,3,2,3,1,1,1
48,3578,47,1,1,1,4,1.0,5,4,5,5,3,1,1,3,2,3,2,1,1
42,7174,30,3,1,1,4,1.0,4,1,3,5,2,1,3,3,2,4,2,1,2
10,2132,27,3,1,2,2,1.0,2,1,5,4,2,2,1,3,1,3,1,2,1
33,4281,23,4,1,2,1,3.0,3,1,5,4,2,1,3,3,2,3,1,1,2
12,2366,36,3,1,1,3,3.0,4,2,5,1,1,1,3,3,2,4,2,1,1
21,1835,25,2,1,2,3,1.0,3,1,3,5,2,1,1,3,2,3,2,1,2
24,3868,41,2,1,2,4,1.0,5,4,5,2,2,1,3,3,1,4,2,1,1
12,1768,24,2,1,1,3,1.0,3,4,3,4,3,1,1,3,1,2,1,1,1
10,781,63,4,1,2,4,1.0,5,3,5,1,3,1,4,3,3,3,2,1,1
18,1924,27,3,1,1,4,1.0,2,2,3,4,2,1,1,3,1,3,1,1,2
12,2121,30,2,1,2,4,1.0,3,1,5,1,3,1,2,3,2,3,1,1,1
12,701,40,2,1,1,4,1.0,3,1,3,5,4,1,1,3,2,2,1,1,1
12,639,30,2,1,1,4,1.0,3,2,3,7,3,1,3,3,2,3,1,1,2
12,1860,34,2,1,2,4,1.0,1,2,5,2,3,1,3,3,2,4,2,1,1
12,3499,29,2,1,2,3,1.0,3,1,5,1,2,2,1,3,2,3,1,1,2
48,8487,24,2,1,1,1,1.0,4,2,3,1,2,1,3,3,2,3,1,1,1
36,6887,29,3,1,1,4,1.0,3,1,4,8,3,1,2,2,2,3,2,1,2
15,2708,27,3,1,2,2,1.0,2,4,3,4,3,1,2,1,2,2,1,1,1
18,1984,47,4,1,2,4,1.0,3,4,3,4,3,1,4,1,3,3,1,1,1
60,10144,21,4,1,1,2,2.0,4,4,3,5,2,1,1,3,2,3,2,1,1
12,1240,38,2,1,2,4,1.0,5,4,5,5,2,1,1,3,2,3,2,1,1
27,8613,27,2,1,2,2,4.0,3,4,4,2,3,1,3,3,2,3,1,1,1
12,766,66,3,1,1,4,3.0,3,2,3,5,3,1,1,3,2,2,1,1,2
15,2728,35,2,1,3,4,1.0,4,2,5,5,3,3,1,1,2,3,2,1,1
12,1881,44,2,1,1,2,1.0,3,3,3,5,2,1,3,3,1,2,2,1,1
6,709,27,2,1,1,2,4.0,2,3,3,1,4,1,1,3,2,1,1,2,1
36,4795,30,1,1,1,4,1.0,2,2,3,5,2,1,4,3,2,4,2,1,1
27,3416,27,2,1,1,3,1.0,3,1,3,5,3,1,3,3,2,4,1,1,1
18,2462,22,2,1,1,2,1.0,3,1,3,4,3,1,3,3,2,3,1,1,2
21,2288,23,4,1,1,4,1.0,2,4,5,4,2,1,2,3,2,3,2,1,1
48,3566,30,2,1,1,4,2.0,4,2,2,10,3,1,3,3,2,3,1,1,1
6,860,39,4,1,2,1,1.0,5,1,5,1,2,1,4,3,2,3,2,1,1
12,682,51,3,1,2,4,2.0,4,4,5,1,2,1,3,3,2,3,2,1,1
36,5371,28,2,1,2,3,1.0,3,1,5,4,3,3,2,3,2,3,1,1,1
18,1582,46,4,1,2,4,4.0,5,4,5,5,3,1,3,3,2,3,1,1,1
6,1346,42,4,2,1,2,2.0,5,4,3,5,3,1,4,1,3,3,2,1,1
10,1924,38,4,1,1,1,1.0,3,4,3,5,3,1,2,3,2,3,2,2,1
36,5848,24,1,1,1,4,1.0,3,3,3,5,3,1,3,3,2,3,1,1,1
24,7758,29,4,1,1,2,4.0,5,2,5,2,2,1,4,3,1,3,1,1,1
24,6967,36,4,1,1,4,2.0,4,2,4,10,3,1,3,3,1,4,2,1,1
12,1282,20,4,1,1,2,1.0,3,1,3,4,2,1,3,3,1,3,1,1,2
9,1288,48,4,2,2,3,2.0,5,1,5,7,3,3,1,3,2,3,1,2,1
12,339,45,1,1,1,4,1.0,5,1,2,9,4,1,3,1,2,2,1,1,1
24,3512,38,3,1,2,2,2.0,4,2,3,1,3,1,3,1,2,3,2,1,1
6,1898,34,2,2,2,1,1.0,3,4,5,5,3,1,1,3,2,2,1,1,1
24,2872,36,4,2,1,3,2.0,5,4,5,5,3,1,1,3,2,3,2,1,1
18,1055,30,1,1,2,4,1.0,2,4,5,1,2,1,2,3,2,3,1,1,1
15,1262,36,3,1,2,4,3.0,4,4,3,6,3,1,2,3,2,3,2,1,1
10,7308,70,4,1,1,2,1.0,1,2,3,1,3,1,4,1,3,4,2,1,1
36,909,36,4,1,1,4,3.0,5,4,3,1,3,1,2,3,2,3,1,1,1
6,2978,32,2,1,1,1,3.0,3,4,3,4,3,1,3,3,2,3,2,1,1
18,1131,33,2,1,1,4,1.0,1,1,3,4,2,1,3,3,2,3,1,1,2
11,1577,20,1,1,1,4,4.0,2,2,3,4,2,1,1,3,2,3,1,1,1
24,3972,25,4,1,1,2,1.0,4,4,3,4,2,1,2,3,1,3,2,1,1
24,1935,31,4,1,2,4,1.0,5,2,5,10,1,1,1,3,2,3,2,1,2
15,950,33,3,2,2,4,1.0,5,1,1,1,3,1,3,3,1,3,1,1,2
12,763,26,1,1,1,4,1.0,3,4,3,4,2,1,1,3,2,3,2,1,1
24,2064,34,2,1,1,3,1.0,1,2,4,4,2,1,2,3,2,4,2,1,2
8,1414,33,2,1,1,4,1.0,3,2,3,5,3,3,1,3,2,3,1,2,1
21,3414,26,1,1,2,2,1.0,2,1,4,8,3,1,2,3,2,3,1,1,2
30,7485,53,1,1,1,4,1.0,1,4,2,2,2,1,1,1,2,4,2,1,2
12,2577,42,1,1,1,2,1.0,3,1,3,4,1,1,3,3,2,3,1,1,1
6,338,52,4,1,2,4,3.0,5,1,5,5,3,1,3,3,2,3,1,1,1
12,1963,31,2,2,2,4,1.0,4,4,3,5,3,1,3,3,1,4,2,1,1
21,571,65,4,1,2,4,1.0,5,1,5,1,3,1,1,3,2,3,1,1,1
36,9572,28,1,1,2,1,1.0,2,4,4,10,1,1,3,3,2,3,1,1,2
36,4455,30,2,1,2,2,1.0,3,2,4,10,1,1,1,2,2,4,2,1,2
21,1647,40,2,2,2,4,1.0,3,1,2,1,3,1,2,3,2,2,1,1,2
24,3777,50,4,1,1,4,4.0,3,4,5,4,3,1,1,3,2,3,2,1,1
18,884,36,4,2,1,4,1.0,5,2,5,1,3,1,3,1,2,3,2,1,2
15,1360,31,2,1,2,4,1.0,3,4,5,5,3,1,2,3,2,3,1,1,1
9,5129,74,4,2,1,2,1.0,5,2,2,2,2,1,4,1,3,4,2,1,2
16,1175,68,3,1,3,2,1.0,1,2,5,1,3,1,3,3,3,1,2,1,1
12,674,20,1,1,1,4,2.0,4,1,3,5,4,1,2,3,2,3,1,1,2
18,3244,33,4,1,2,1,1.0,3,2,1,4,2,1,3,1,2,3,2,1,1
24,4591,54,3,1,3,2,4.0,3,4,3,10,3,1,2,3,2,4,2,1,2
48,3844,34,4,2,1,4,2.0,4,2,1,10,3,1,4,3,3,2,1,1,2
27,3915,36,2,2,1,4,1.0,3,2,3,10,3,1,3,3,2,3,2,1,2
6,2108,29,2,1,1,2,1.0,4,4,3,5,4,1,1,3,1,3,1,1,1
45,3031,21,4,1,1,4,2.0,3,2,3,5,3,3,2,3,1,3,1,1,2
9,1501,34,3,1,2,2,1.0,5,2,5,8,2,1,3,3,2,4,2,1,2
6,1382,28,1,1,2,1,1.0,3,4,5,5,2,1,3,3,2,3,2,1,1
12,951,27,4,1,4,4,2.0,2,2,3,4,2,1,3,1,1,3,1,1,2
24,2760,36,4,1,1,4,1.0,5,2,3,2,3,1,4,1,3,3,2,1,1
18,4297,40,3,1,1,4,1.0,5,2,4,4,1,1,4,3,2,4,2,1,2
9,936,52,2,1,2,4,3.0,5,4,5,8,3,1,3,3,2,3,2,1,1
12,1168,27,3,1,1,4,1.0,3,1,3,1,4,1,1,3,2,2,1,1,1
27,5117,26,4,1,2,3,1.0,4,4,4,10,3,1,3,3,2,3,1,1,1
12,902,21,4,1,1,4,1.0,4,1,3,9,4,1,2,3,1,3,1,1,2
12,1495,38,1,2,2,4,1.0,5,4,5,1,3,1,1,3,2,2,1,1,1
30,10623,38,4,2,3,3,1.0,5,1,5,2,3,1,4,3,3,4,2,1,1
12,1935,43,4,1,3,4,1.0,5,4,5,4,3,1,1,3,2,3,2,1,1
12,1424,26,3,1,1,4,1.0,4,2,5,6,3,1,2,3,2,3,1,1,1
24,6568,21,2,1,1,2,1.0,3,1,3,10,4,1,3,2,2,2,1,1,1
12,1413,55,2,1,1,3,4.0,4,4,3,2,3,1,2,3,2,3,1,2,1
9,3074,33,2,2,2,1,1.0,3,4,5,5,3,1,1,3,2,3,1,1,1
36,3835,45,4,1,1,2,1.0,5,4,3,5,2,1,1,3,2,2,2,1,1
27,5293,50,4,1,2,2,1.0,1,1,1,10,3,1,2,2,2,3,2,1,2
30,1908,66,4,1,1,4,1.0,5,3,4,10,3,1,1,3,2,4,2,1,2
36,3342,51,2,1,1,4,1.0,5,4,5,5,3,1,3,3,2,3,2,1,1
6,932,39,3,1,2,1,1.0,4,2,5,9,2,1,2,3,2,2,1,1,1
18,3104,31,1,1,1,3,1.0,4,1,1,10,3,1,2,1,2,3,2,1,1
36,3913,23,2,1,1,2,1.0,3,3,3,5,3,1,1,3,2,3,2,1,1
24,3021,24,2,1,1,2,1.0,3,1,3,4,1,1,1,3,1,2,1,1,1
10,1364,64,4,1,1,2,1.0,3,4,3,1,2,1,3,3,2,3,2,1,1
12,625,26,1,1,1,4,1.0,2,2,3,5,4,3,1,1,2,2,1,1,1
12,1200,23,4,1,1,4,1.0,3,1,3,8,2,1,2,1,1,3,2,1,1
12,707,30,2,1,2,4,1.0,3,4,3,5,3,1,1,1,2,3,1,1,1
24,2978,32,4,2,2,4,1.0,3,4,4,10,3,1,1,3,2,3,2,1,1
15,4657,30,2,1,1,3,1.0,3,4,3,2,3,1,3,3,2,3,2,1,1
36,2613,27,2,1,2,4,1.0,3,4,1,7,3,1,3,3,2,3,1,1,1
48,10961,27,2,1,2,1,4.0,4,2,3,5,3,2,4,1,2,3,2,1,2
12,7865,53,4,1,1,4,1.0,5,1,3,4,3,1,4,3,3,4,2,1,2
9,1478,22,2,1,1,4,1.0,4,4,3,5,3,1,3,3,2,3,1,1,2
24,3149,22,1,1,1,4,1.0,2,1,3,4,3,1,4,1,3,3,1,1,1
36,4210,26,2,1,1,4,1.0,3,3,3,5,3,1,3,3,2,3,1,1,2
9,2507,51,4,1,1,2,3.0,5,4,3,1,3,1,4,3,3,2,1,1,1
12,2141,35,1,1,1,3,2.0,4,4,3,5,3,1,4,3,2,3,1,1,1
18,866,25,2,1,1,4,1.0,3,2,3,5,4,3,1,3,2,2,1,1,1
4,1544,42,1,2,3,2,1.0,4,4,5,5,3,1,1,3,2,2,1,1,1
24,1823,30,2,2,1,4,1.0,1,1,3,5,3,1,3,2,2,4,1,1,2
6,14555,23,2,1,1,1,1.0,1,2,3,1,3,1,2,3,2,1,2,1,2
21,2767,61,2,1,2,4,2.0,5,2,3,10,1,1,3,1,1,2,1,1,2
12,1291,35,2,1,2,4,1.0,3,4,5,5,2,1,2,3,2,3,1,1,1
30,2522,39,3,2,1,1,1.0,5,1,3,5,3,3,2,3,2,3,1,1,1
24,915,29,2,1,1,4,1.0,5,1,3,1,2,1,3,1,2,3,1,1,2
6,1595,51,2,2,1,3,1.0,4,4,3,5,3,1,2,3,2,3,1,1,1
48,4605,24,4,2,2,3,1.0,5,1,1,2,3,1,4,3,3,3,1,1,2
12,1185,27,2,1,2,3,1.0,3,4,5,10,2,1,1,3,2,3,1,1,1
12,3447,35,3,2,1,4,3.0,3,4,2,9,2,1,1,3,2,2,1,1,1
24,1258,25,1,1,1,4,1.0,4,4,3,10,3,1,1,3,2,3,2,1,1
12,717,52,4,1,3,4,1.0,5,4,5,5,3,1,1,3,2,3,1,1,1
6,1204,35,1,1,1,4,2.0,3,4,1,1,3,1,4,1,1,3,1,2,1
24,1925,26,2,1,1,2,1.0,3,3,3,4,3,1,1,3,2,3,1,1,1
18,433,22,4,1,1,3,1.0,1,4,3,5,2,2,1,3,1,3,1,1,2
6,666,39,4,1,2,3,4.0,4,1,5,1,2,1,1,3,2,2,2,1,1
12,2251,46,2,1,1,1,1.0,3,3,3,4,2,1,3,3,2,2,1,1,1
30,2150,24,2,1,1,4,1.0,3,2,3,1,2,3,4,1,2,3,1,1,2
24,4151,35,3,1,2,2,2.0,3,4,4,4,3,1,2,3,2,3,1,1,1
9,2030,24,1,1,1,2,1.0,4,2,3,4,3,1,3,3,2,3,2,1,1
60,7418,27,1,1,1,1,1.0,3,2,4,5,3,1,1,3,2,2,1,1,1
24,2684,35,2,1,2,4,1.0,3,4,5,5,3,1,1,3,2,2,1,1,1
12,2149,29,1,1,1,4,1.0,3,1,2,5,1,1,4,3,3,3,1,1,2
15,3812,23,4,1,1,1,2.0,2,4,3,2,2,1,3,3,2,3,2,1,1
11,1154,57,4,1,3,4,2.0,1,4,5,5,2,1,1,3,2,2,1,1,1
12,1657,27,2,1,1,2,1.0,3,1,3,4,3,1,1,3,2,3,1,1,1
24,1603,55,4,1,1,4,1.0,5,1,3,5,2,1,3,3,2,3,1,1,1
18,5302,36,4,1,3,2,1.0,5,1,5,1,3,1,4,3,3,4,2,1,1
12,2748,57,4,1,3,2,1.0,5,4,5,8,2,1,4,1,3,2,1,1,1
10,1231,32,4,2,2,3,1.0,5,4,5,1,3,1,1,3,2,2,1,2,1
15,802,37,3,2,1,4,1.0,5,2,3,5,3,1,3,3,2,3,1,1,2
36,6304,36,4,1,2,4,1.0,5,4,5,10,3,1,1,3,2,3,1,1,1
24,1533,38,3,1,1,4,1.0,2,4,3,5,2,1,3,2,2,3,2,1,1
14,8978,45,4,1,1,1,1.0,5,1,3,1,1,1,2,3,2,4,2,2,2
24,999,25,2,1,2,4,1.0,5,4,3,5,3,1,3,3,2,3,1,1,1
18,2662,32,3,1,1,4,1.0,4,4,3,1,3,1,2,3,2,3,1,2,1
12,1402,37,4,1,1,3,3.0,4,4,5,4,2,1,3,3,1,3,2,1,1
48,12169,36,4,1,1,4,1.0,1,2,2,1,3,2,4,3,3,4,2,1,1
48,3060,28,4,1,2,4,1.0,4,2,3,5,3,1,1,3,2,3,1,1,2
30,11998,34,1,1,1,1,1.0,2,1,3,7,1,1,4,3,2,2,2,1,2
9,2697,32,2,2,1,1,1.0,3,4,3,5,3,1,1,3,2,3,1,1,1
18,2404,26,2,1,2,2,1.0,3,4,5,5,2,1,3,3,2,3,1,1,1
12,1262,49,4,1,1,2,1.0,5,1,3,4,1,1,2,3,2,2,2,1,1
6,4611,32,4,1,1,1,1.0,2,4,3,4,2,1,2,3,2,3,1,1,2
24,1901,29,4,1,1,4,2.0,3,4,3,5,3,1,3,3,1,4,2,1,1
15,3368,23,4,1,2,3,4.0,5,4,5,2,3,1,4,3,1,3,2,1,1
12,1574,50,2,1,1,4,1.0,3,4,3,4,3,1,1,3,2,3,1,1,1
18,1445,49,4,1,1,4,1.0,4,3,2,5,3,1,3,1,2,2,1,1,1
15,1520,63,4,1,1,4,1.0,5,4,5,4,3,1,2,3,2,3,1,1,1
24,3878,37,2,1,1,4,2.0,2,2,5,1,1,1,3,3,2,3,2,1,1
47,10722,35,1,1,1,1,1.0,2,1,3,1,2,1,1,3,2,2,2,1,1
48,4788,26,3,2,1,4,1.0,4,1,3,2,3,1,2,3,2,3,1,1,1
48,7582,31,4,1,1,2,2.0,1,2,4,3,3,1,4,3,3,4,2,1,1
12,1092,49,4,1,2,4,1.0,3,2,3,5,2,3,1,3,2,3,2,1,1
24,1024,48,4,1,1,4,1.0,2,1,4,5,4,1,1,2,2,3,1,1,2
12,1076,26,2,1,1,2,1.0,3,4,3,10,4,1,1,3,2,3,2,2,1
36,9398,28,4,1,1,1,1.0,2,2,3,2,4,1,3,3,1,4,2,1,2
24,6419,44,4,2,2,2,1.0,5,1,5,2,2,1,4,3,3,4,2,1,1
42,4796,56,4,1,1,4,1.0,5,3,5,2,3,1,4,3,3,3,1,1,1
48,7629,46,2,2,2,4,1.0,5,4,5,10,1,1,3,1,2,4,1,1,1
48,9960,26,2,1,1,1,1.0,2,2,3,4,2,1,3,3,2,3,2,1,2
12,4675,20,4,1,1,1,1.0,2,4,3,2,2,1,3,3,1,3,1,1,1
10,1287,45,2,1,1,4,1.0,5,4,3,1,3,2,2,3,2,2,1,2,1
18,2515,43,4,1,1,3,1.0,3,4,3,4,3,1,1,3,2,3,2,1,1
21,2745,32,2,1,2,3,4.0,4,2,5,4,3,1,3,3,2,3,2,1,1
6,672,54,4,1,1,1,1.0,1,4,3,1,2,1,1,3,2,1,2,1,1
36,3804,42,1,1,1,4,1.0,3,2,1,5,2,1,3,3,2,3,2,1,2
24,1344,37,2,2,2,4,1.0,4,3,5,1,3,1,1,1,2,2,1,1,2
10,1038,49,3,1,2,4,1.0,4,1,5,1,3,2,2,3,2,3,2,1,1
48,10127,44,2,1,1,2,3.0,3,4,5,1,3,1,4,1,3,3,1,1,2
