Age,Debt,YearsEmployed,CreditScore,ZipCode,Income,EducationLevel,Gender,Married,BankCustomer,Ethnicity,PriorDefault,Employed,DriversLicense,Citizen,ApprovalStatus
238.0,61.0,114.0,1.0,61,1.0,14.0,2,3,3,4,2,1,2,1,2
40.0,26.0,22.0,6.0,45,6.0,2.0,1,2,1,8,2,2,2,1,2
136.0,82.0,72.0,4.0,105,1.0,13.0,2,2,1,8,2,2,2,1,2
89.0,34.0,14.0,4.0,63,62.0,6.0,1,3,3,3,2,2,1,1,2
90.0,178.0,24.0,1.0,90,1.0,13.0,2,2,1,8,2,1,2,1,2
182.0,26.0,26.0,4.0,74,1.0,9.0,1,2,1,1,2,2,2,1,2
48.0,40.0,34.0,4.0,45,76.0,2.0,2,3,3,4,2,2,2,1,2
99.0,37.0,32.0,3.0,68,1.0,11.0,1,2,1,8,2,2,1,1,2
214.0,123.0,117.0,8.0,99,6.0,11.0,2,2,1,4,2,2,2,1,2
299.0,119.0,97.0,16.0,1,221.0,9.0,2,2,1,8,2,2,1,1,1
318.0,124.0,123.0,7.0,114,160.0,10.0,2,2,1,8,2,2,2,1,1
49.0,156.0,9.0,2.0,24,36.0,3.0,1,2,1,4,2,2,2,1,1
232.0,118.0,2.0,2.0,68,90.0,11.0,2,2,1,8,2,2,1,1,1
102.0,178.0,30.0,23.0,45,85.0,3.0,2,2,1,8,2,2,2,1,1
91.0,178.0,37.0,13.0,38,116.0,1.0,1,2,1,8,2,2,2,1,1
258.0,121.0,101.0,4.0,1,1.0,11.0,1,2,1,8,2,2,2,1,1
81.0,137.0,109.0,6.0,38,1.0,11.0,1,2,1,8,2,2,2,1,1
193.0,102.0,103.0,7.0,1,144.0,14.0,2,2,1,4,2,2,2,1,1
273.0,66.0,58.0,13.0,129,186.0,10.0,2,2,1,1,2,2,2,1,1
72.0,162.0,58.0,8.0,32,134.0,11.0,2,2,1,8,2,2,2,1,1
188.0,92.0,70.0,3.0,93,121.0,7.0,2,2,1,1,2,2,1,1,1
130.0,82.0,23.0,1.0,95,1.0,13.0,1,2,1,8,2,1,1,3,1
334.0,109.0,120.0,2.0,1,1.0,5.0,2,2,1,9,2,2,2,1,1
46.0,54.0,52.0,2.0,32,63.0,2.0,2,2,1,8,2,2,1,1,1
272.0,131.0,98.0,7.0,119,228.0,5.0,1,2,1,1,2,2,1,1,1
203.0,102.0,58.0,7.0,1,99.0,2.0,2,2,1,1,2,2,1,1,1
171.0,109.0,92.0,13.0,128,144.0,11.0,2,2,1,4,2,2,2,1,1
281.0,119.0,95.0,1.0,111,1.0,11.0,2,2,1,4,2,1,2,1,1
232.0,18.0,14.0,4.0,68,144.0,1.0,2,3,3,8,2,2,1,1,1
180.0,70.0,77.0,7.0,70,1.0,10.0,2,2,1,8,2,2,1,1,1
31.0,142.0,40.0,7.0,11,120.0,13.0,1,2,1,8,2,2,2,1,1
115.0,185.0,84.0,3.0,1,204.0,11.0,1,2,1,4,2,2,1,1,1
157.0,85.0,17.0,10.0,64,1.0,3.0,1,2,1,4,2,2,2,1,1
311.0,196.0,1.0,16.0,1,83.0,8.0,1,2,1,3,2,2,1,1,1
253.0,11.0,43.0,9.0,32,100.0,3.0,2,3,3,4,2,2,1,1,1
67.0,162.0,47.0,2.0,24,86.0,13.0,2,2,1,8,2,2,1,1,1
118.0,50.0,86.0,10.0,126,136.0,3.0,2,2,1,4,2,2,1,1,1
173.0,66.0,62.0,7.0,53,175.0,3.0,2,2,1,4,2,2,1,1,1
78.0,46.0,55.0,4.0,1,117.0,11.0,2,2,1,8,2,2,2,1,1
235.0,128.0,107.0,15.0,1,183.0,11.0,1,3,3,4,2,2,1,1,1
150.0,119.0,75.0,8.0,1,192.0,2.0,1,2,1,1,2,2,2,1,1
300.0,194.0,92.0,15.0,1,180.0,2.0,1,2,1,8,2,2,1,1,1
267.0,16.0,11.0,12.0,136,7.0,3.0,1,2,1,4,2,2,2,1,1
319.0,149.0,75.0,15.0,1,169.0,11.0,1,2,1,8,2,2,1,1,1
211.0,119.0,77.0,13.0,28,1.0,10.0,2,2,1,4,2,2,2,1,1
76.0,66.0,28.0,12.0,18,178.0,2.0,2,2,1,8,2,2,2,1,1
172.0,46.0,92.0,4.0,1,1.0,3.0,2,2,1,4,2,2,2,1,1
59.0,167.0,1.0,12.0,1,1.0,8.0,1,3,3,5,2,2,2,1,1
131.0,74.0,59.0,2.0,20,1.0,14.0,1,3,3,4,2,2,1,1,1
335.0,194.0,1.0,15.0,1,195.0,5.0,1,2,1,9,2,2,1,1,1
125.0,55.0,76.0,3.0,64,1.0,9.0,2,2,1,4,2,2,2,1,1
185.0,3.0,2.0,2.0,95,173.0,10.0,2,3,3,1,2,2,2,1,1
122.0,55.0,26.0,5.0,45,214.0,14.0,2,2,1,4,2,2,1,1,1
257.0,55.0,43.0,3.0,1,16.0,10.0,2,2,1,8,2,2,2,1,1
95.0,51.0,41.0,2.0,124,21.0,14.0,2,2,1,8,2,2,2,1,1
165.0,52.0,2.0,1.0,123,1.0,5.0,2,3,3,4,2,1,2,1,1
326.0,198.0,116.0,1.0,4,219.0,11.0,1,2,1,8,2,1,2,1,1
237.0,149.0,43.0,1.0,8,137.0,11.0,1,2,1,4,2,1,1,1,1
35.0,142.0,26.0,1.0,18,104.0,11.0,2,2,1,8,2,1,2,1,1
169.0,18.0,2.0,1.0,136,220.0,3.0,1,2,1,8,2,1,1,1,1
208.0,78.0,112.0,1.0,33,122.0,11.0,2,2,1,4,2,1,2,1,1
213.0,37.0,37.0,1.0,133,1.0,4.0,2,3,3,8,1,1,2,1,1
95.0,67.0,7.0,1.0,117,1.0,1.0,1,3,3,8,2,1,2,1,1
241.0,1.0,125.0,1.0,1,1.0,2.0,2,2,1,1,2,1,1,1,1
309.0,178.0,107.0,1.0,6,174.0,9.0,2,2,1,4,2,1,2,1,1
287.0,186.0,109.0,1.0,1,1.0,9.0,1,2,1,4,2,1,2,1,1
71.0,158.0,33.0,1.0,32,1.0,11.0,2,2,1,4,2,1,1,1,1
116.0,46.0,10.0,1.0,90,147.0,13.0,2,3,3,8,2,1,2,1,1
94.0,178.0,64.0,1.0,3,1.0,1.0,2,2,1,8,2,1,2,3,1
107.0,136.0,35.0,1.0,53,63.0,1.0,1,2,1,8,2,1,1,1,1
27.0,139.0,30.0,5.0,18,113.0,11.0,1,2,1,8,2,2,1,1,1
43.0,132.0,46.0,15.0,18,65.0,1.0,2,2,1,8,2,2,1,1,1
273.0,11.0,125.0,20.0,1,223.0,2.0,2,2,1,1,2,2,1,1,1
54.0,63.0,14.0,5.0,24,1.0,7.0,1,2,1,1,2,2,1,3,1
48.0,73.0,5.0,4.0,32,7.0,11.0,1,2,1,8,2,2,1,1,1
315.0,203.0,92.0,8.0,1,191.0,2.0,1,2,1,8,2,2,1,1,1
68.0,111.0,60.0,8.0,41,193.0,11.0,1,2,1,8,2,2,1,1,1
282.0,134.0,118.0,10.0,64,170.0,2.0,2,2,1,4,2,2,1,1,1
233.0,119.0,72.0,2.0,1,110.0,1.0,2,2,1,1,2,2,1,1,1
236.0,102.0,84.0,8.0,1,192.0,2.0,2,2,1,8,2,2,1,1,1
133.0,34.0,58.0,6.0,99,165.0,2.0,1,2,1,8,2,2,2,1,1
176.0,97.0,40.0,3.0,1,1.0,11.0,1,2,1,4,2,2,1,1,1
55.0,158.0,64.0,1.0,1,1.0,2.0,2,2,1,8,2,1,2,1,1
247.0,8.0,87.0,1.0,127,1.0,7.0,2,2,1,4,2,1,1,1,1
245.0,32.0,58.0,1.0,148,120.0,14.0,2,2,1,8,2,1,1,1,1
71.0,48.0,66.0,7.0,24,1.0,13.0,2,3,3,8,2,2,1,1,1
189.0,88.0,109.0,8.0,67,1.0,7.0,2,3,3,1,2,2,2,1,1
128.0,103.0,37.0,9.0,47,8.0,2.0,2,3,3,1,2,2,2,1,1
177.0,77.0,68.0,4.0,120,1.0,14.0,2,3,3,8,2,2,2,1,1
277.0,130.0,126.0,13.0,1,132.0,13.0,2,2,1,4,2,2,1,1,1
121.0,56.0,47.0,4.0,117,115.0,1.0,2,3,3,8,2,2,2,1,1
70.0,150.0,2.0,10.0,18,103.0,14.0,2,2,1,8,2,2,1,1,1
85.0,17.0,31.0,2.0,1,123.0,11.0,1,2,1,4,2,2,1,1,1
241.0,33.0,52.0,1.0,1,90.0,7.0,1,2,1,1,2,1,2,1,1
49.0,154.0,19.0,3.0,14,1.0,11.0,1,2,1,8,2,2,2,1,1
204.0,58.0,3.0,2.0,15,150.0,13.0,2,3,3,8,2,2,1,1,1
197.0,173.0,123.0,9.0,1,211.0,11.0,1,2,1,4,2,2,1,1,1
133.0,140.0,93.0,7.0,121,68.0,11.0,2,2,1,4,2,2,1,1,1
195.0,66.0,80.0,8.0,49,158.0,9.0,2,2,1,8,2,2,1,1,1
229.0,92.0,98.0,17.0,37,153.0,2.0,2,2,1,1,2,2,1,1,1
227.0,114.0,114.0,15.0,126,1.0,3.0,2,2,1,4,2,2,2,1,1
87.0,120.0,92.0,1.0,32,1.0,4.0,2,3,3,8,2,1,2,3,1
325.0,191.0,129.0,16.0,1,144.0,6.0,2,2,1,3,2,2,2,1,1
76.0,167.0,72.0,10.0,17,129.0,7.0,2,2,1,8,2,2,1,1,1
112.0,69.0,89.0,2.0,73,1.0,3.0,2,3,3,8,2,2,1,1,1
277.0,82.0,72.0,1.0,81,1.0,1.0,2,2,1,8,2,1,1,3,1
240.0,88.0,100.0,9.0,104,1.0,3.0,2,2,1,4,2,2,1,1,1
308.0,167.0,84.0,6.0,1,216.0,6.0,2,2,1,3,2,2,1,1,1
302.0,145.0,111.0,6.0,1,1.0,5.0,2,2,1,8,2,2,1,1,1
32.0,139.0,26.0,5.0,24,110.0,2.0,1,3,3,8,2,2,2,1,1
288.0,179.0,53.0,4.0,52,1.0,1.0,1,2,1,8,2,2,2,1,1
333.0,162.0,130.0,8.0,5,1.0,5.0,2,2,1,9,2,2,2,1,1
18.0,137.0,34.0,1.0,1,1.0,1.0,1,2,1,8,2,1,2,1,1
31.0,143.0,3.0,1.0,32,1.0,1.0,1,2,1,8,2,1,1,1,1
214.0,109.0,4.0,1.0,80,1.0,11.0,1,2,1,8,2,1,2,1,1
78.0,87.0,7.0,1.0,53,1.0,2.0,2,2,1,1,2,1,2,1,1
23.0,109.0,14.0,1.0,24,1.0,9.0,2,2,1,8,2,1,1,1,1
69.0,133.0,57.0,1.0,55,1.0,14.0,1,3,3,8,1,1,1,1,1
39.0,13.0,47.0,3.0,24,1.0,11.0,2,2,1,8,2,2,2,1,1
64.0,162.0,18.0,1.0,32,1.0,3.0,2,2,1,8,2,1,1,1,1
96.0,82.0,17.0,8.0,1,213.0,3.0,2,2,1,8,2,2,1,1,1
272.0,73.0,122.0,3.0,150,171.0,14.0,1,2,1,8,2,2,2,1,1
179.0,52.0,80.0,5.0,88,138.0,14.0,2,2,1,4,2,2,2,1,1
122.0,188.0,94.0,1.0,145,110.0,13.0,2,2,1,8,2,1,2,1,1
320.0,205.0,114.0,14.0,1,212.0,7.0,1,2,1,1,2,2,1,1,1
48.0,54.0,49.0,6.0,76,185.0,11.0,1,2,1,8,2,2,1,1,1
108.0,10.0,1.0,1.0,1,1.0,7.0,2,2,1,1,2,1,2,1,1
55.0,127.0,35.0,2.0,24,217.0,1.0,2,2,1,8,2,2,1,1,1
252.0,97.0,81.0,1.0,1,1.0,11.0,2,2,1,8,2,1,1,3,1
215.0,152.0,58.0,7.0,151,73.0,14.0,2,2,1,8,2,2,1,1,1
47.0,149.0,58.0,1.0,11,1.0,2.0,2,3,3,8,2,1,1,3,1
278.0,209.0,43.0,4.0,38,15.0,13.0,2,2,1,8,2,2,1,1,1
129.0,102.0,116.0,1.0,20,1.0,13.0,2,2,1,8,2,1,2,1,1
28.0,55.0,37.0,3.0,38,90.0,7.0,2,2,1,8,2,2,1,1,1
177.0,74.0,48.0,2.0,63,225.0,2.0,2,3,3,4,2,2,2,1,1
262.0,134.0,123.0,2.0,26,173.0,3.0,2,2,1,4,2,2,2,1,1
39.0,9.0,8.0,12.0,24,49.0,11.0,1,2,1,4,2,2,1,1,1
61.0,162.0,8.0,7.0,39,1.0,14.0,2,2,1,8,2,2,1,1,1
234.0,206.0,130.0,12.0,1,151.0,5.0,2,2,1,9,2,2,1,1,1
242.0,102.0,84.0,7.0,143,1.0,11.0,2,2,1,4,2,2,2,1,1
20.0,162.0,26.0,12.0,1,191.0,14.0,1,2,1,4,2,2,1,1,1
77.0,164.0,13.0,2.0,32,1.0,14.0,2,2,1,4,2,2,1,1,1
24.0,154.0,28.0,1.0,104,14.0,2.0,2,2,1,4,1,1,1,1,2
41.0,163.0,47.0,1.0,44,1.0,2.0,2,2,1,8,1,1,2,1,2
41.0,1.0,14.0,1.0,47,1.0,4.0,2,2,1,8,1,1,1,1,2
49.0,143.0,2.0,1.0,68,144.0,7.0,1,2,1,8,1,1,1,1,2
89.0,52.0,5.0,1.0,43,1.0,2.0,1,3,3,8,1,1,1,1,2
172.0,63.0,94.0,1.0,98,1.0,4.0,2,2,1,4,1,1,2,1,2
296.0,1.0,1.0,1.0,1,1.0,6.0,1,3,3,3,1,1,1,1,2
277.0,42.0,9.0,1.0,1,56.0,7.0,1,2,1,7,1,1,1,1,2
46.0,158.0,1.0,1.0,51,28.0,14.0,1,3,3,4,1,1,2,1,2
290.0,20.0,1.0,1.0,48,1.0,6.0,2,2,1,3,1,1,1,1,2
13.0,4.0,2.0,1.0,45,127.0,2.0,2,3,3,8,1,1,1,1,2
26.0,39.0,1.0,1.0,32,1.0,5.0,2,3,3,2,1,1,1,1,2
165.0,115.0,31.0,1.0,92,1.0,4.0,1,2,1,8,1,1,1,1,2
324.0,47.0,4.0,1.0,90,1.0,11.0,2,2,1,8,2,1,2,1,1
22.0,6.0,6.0,1.0,68,32.0,11.0,2,2,1,6,1,1,1,1,1
169.0,66.0,31.0,1.0,95,1.0,2.0,2,2,1,8,1,1,2,1,2
23.0,122.0,2.0,1.0,45,1.0,10.0,2,3,3,8,1,1,1,1,2
216.0,152.0,4.0,1.0,53,1.0,9.0,2,3,3,8,1,1,1,1,2
152.0,66.0,52.0,1.0,108,1.0,3.0,2,2,1,4,1,1,2,3,2
29.0,112.0,15.0,1.0,38,1.0,4.0,2,2,1,8,1,1,1,1,2
34.0,108.0,8.0,1.0,24,109.0,7.0,1,2,1,4,1,1,1,1,2
24.0,149.0,5.0,1.0,108,1.0,11.0,1,3,3,4,1,1,1,1,2
9.0,29.0,3.0,1.0,68,1.0,10.0,2,2,1,8,2,1,1,3,2
53.0,30.0,7.0,1.0,95,75.0,2.0,2,3,3,4,1,1,1,1,2
84.0,20.0,4.0,1.0,85,2.0,3.0,2,3,3,4,1,1,1,1,2
19.0,94.0,7.0,1.0,24,1.0,2.0,2,2,1,8,1,1,1,3,2
11.0,40.0,7.0,2.0,34,48.0,11.0,1,2,1,8,1,2,1,1,2
78.0,180.0,4.0,3.0,1,207.0,2.0,2,2,1,8,1,2,1,1,2
18.0,149.0,5.0,2.0,38,2.0,13.0,2,2,1,4,1,2,1,1,2
139.0,19.0,8.0,2.0,108,189.0,13.0,2,2,1,8,1,2,1,1,2
31.0,14.0,5.0,2.0,68,2.0,2.0,2,3,3,8,1,2,1,1,2
60.0,52.0,1.0,1.0,53,1.0,8.0,1,3,3,5,1,1,1,1,2
75.0,26.0,14.0,1.0,104,1.0,10.0,2,2,1,8,1,1,2,3,2
25.0,149.0,26.0,2.0,38,2.0,13.0,1,2,1,8,1,2,1,1,2
99.0,18.0,5.0,2.0,92,105.0,13.0,2,2,1,8,1,2,1,1,2
199.0,64.0,4.0,3.0,76,2.0,13.0,2,2,1,8,1,2,1,1,2
7.0,12.0,1.0,2.0,53,57.0,6.0,1,2,1,3,1,2,1,1,2
164.0,76.0,65.0,3.0,68,5.0,6.0,1,2,1,3,1,2,2,1,2
336.0,137.0,75.0,2.0,20,7.0,6.0,2,2,1,3,1,2,1,1,2
174.0,66.0,43.0,3.0,160,1.0,1.0,2,2,1,8,1,2,2,1,2
10.0,70.0,18.0,2.0,24,22.0,1.0,2,2,1,8,1,2,1,1,2
65.0,174.0,71.0,3.0,63,69.0,2.0,2,2,1,8,1,2,2,1,2
317.0,55.0,98.0,2.0,1,11.0,6.0,1,2,1,3,1,2,1,1,2
25.0,6.0,7.0,1.0,95,1.0,4.0,2,2,1,8,1,1,2,3,2
80.0,33.0,14.0,1.0,95,1.0,2.0,2,2,1,8,1,1,2,3,2
5.0,72.0,3.0,1.0,38,1.0,11.0,1,2,1,8,1,1,1,1,2
91.0,187.0,37.0,1.0,95,2.0,11.0,1,2,1,4,1,1,1,1,2
282.0,212.0,1.0,1.0,1,1.0,6.0,2,3,3,3,2,1,2,1,2
81.0,70.0,80.0,1.0,53,25.0,6.0,2,2,1,3,1,1,1,1,2
29.0,155.0,11.0,1.0,24,1.0,6.0,2,2,1,3,1,1,1,1,2
123.0,41.0,7.0,1.0,45,1.0,9.0,2,2,1,4,1,1,2,3,2
162.0,73.0,1.0,1.0,53,21.0,8.0,1,3,3,5,1,1,1,1,2
92.0,95.0,26.0,1.0,114,7.0,13.0,1,2,1,8,1,1,2,1,2
33.0,52.0,54.0,1.0,36,7.0,2.0,2,3,3,8,1,1,2,1,2
10.0,9.0,4.0,1.0,68,2.0,1.0,1,2,1,8,1,1,1,1,2
29.0,149.0,11.0,1.0,24,34.0,4.0,1,2,1,8,1,1,1,1,2
9.0,1.0,7.0,1.0,18,1.0,1.0,2,3,3,8,1,1,1,1,2
75.0,26.0,14.0,1.0,104,1.0,10.0,2,2,1,8,2,1,2,3,2
53.0,10.0,7.0,1.0,95,75.0,2.0,2,3,3,4,1,1,1,1,2
17.0,207.0,1.0,1.0,138,229.0,6.0,2,1,2,7,1,1,2,2,1
34.0,1.0,1.0,1.0,147,2.0,10.0,2,3,3,1,1,1,2,3,1
209.0,5.0,37.0,1.0,83,54.0,2.0,2,3,3,8,1,1,2,1,1
54.0,46.0,37.0,1.0,49,9.0,13.0,2,2,1,8,1,1,1,1,1
23.0,13.0,114.0,1.0,99,1.0,3.0,1,1,2,3,1,1,2,3,1
181.0,13.0,10.0,1.0,99,35.0,3.0,1,2,1,8,1,1,1,1,1
281.0,8.0,7.0,12.0,120,188.0,9.0,2,3,3,8,2,2,1,1,1
181.0,40.0,29.0,1.0,38,1.0,13.0,2,2,1,8,1,1,1,1,2
139.0,36.0,26.0,1.0,95,14.0,14.0,1,3,3,8,1,1,1,1,2
146.0,36.0,2.0,1.0,58,70.0,2.0,2,3,3,8,1,1,1,1,2
